day,polska,pomorskie,gdynia
2015-01-31,11.9,11.6,5.8
2015-02-28,11.9,11.6,5.9
2015-03-31,11.5,11.2,5.7
2015-04-30,11.1,10.7,5.6
2015-05-31,10.7,10.1,5.4
2015-06-30,10.2,9.6,5.3
2015-07-31,10.0,9.2,5.2
2015-08-31,9.9,9.1,5.2
2015-09-30,9.7,9.0,5.0
2015-10-31,9.6,8.9,4.9
2015-11-30,9.6,9.0,5.0
2015-12-31,9.8,9.0,5.0
2016-01-31,10.3,9.5,5.1
2016-02-29,10.3,9.5,5.2
2016-03-31,10.0,9.1,5.1
2016-04-30,9.5,8.7,4.9
2016-05-31,9.1,8.3,4.7
2016-06-30,8.8,7.8,4.4
2016-07-31,8.6,7.5,4.3
2016-08-31,8.5,7.5,4.2
2016-09-30,8.3,7.3,4.0
2016-10-31,8.2,7.2,3.9
2016-11-30,8.2,7.2,3.9
2016-12-31,8.3,7.3,4.0
2017-10-31,6.6,5.5,2.9
2017-03-31,8.1,7.0,3.7
2017-04-30,7.7,6.5,3.5
2017-05-31,7.4,6.3,3.4
2017-06-30,7.1,5.9,3.2
2017-07-31,7.1,5.8,3.2
2017-08-31,7.0,5.9,3.2
2017-09-30,6.8,5.7,3.1
2017-11-30,6.5,5.5,2.9
2017-12-31,6.6,5.5,2.9
2018-01-31,6.9,5.7,3.0
2018-02-28,6.8,5.7,3.0
2018-03-31,6.6,5.5,2.9
2018-04-30,6.3,5.3,2.8
2018-05-31,6.1,5.1,2.6
2018-06-30,5.9,4.9,2.5
2018-07-31,5.9,4.8,2.5
2018-08-31,5.8,4.9,2.5
2018-09-30,5.7,4.8,2.4
2018-10-31,5.7,4.8,2.4
2018-11-30,5.7,4.8,2.4
2018-12-31,5.8,4.9,2.4
2019-01-31,6.1,5.2,2.5
2019-02-28,6.1,5.2,2.5
2019-03-31,5.9,5.1,2.4
2019-04-30,5.6,4.8,2.4
2019-05-31,5.4,4.6,2.2
2019-06-30,5.3,4.4,2.1
2019-07-31,5.2,4.4,2.1
2019-08-31,5.2,4.4,2.1
2019-09-30,5.1,4.4,2.0
2019-10-31,5.0,4.4,2.1
2019-11-30,5.1,4.4,2.0
2019-12-31,5.2,4.4,2.1
2020-01-31,5.5,4.7,2.3
2020-02-29,5.5,4.7,2.3
2020-03-31,5.4,4.8,2.4
2020-06-30,6.1,5.5,3.1
2020-07-31,6.1,5.5,3.1
2020-04-30,5.8,5.2,2.7
2020-05-31,6.0,5.5,3.0
2020-08-31,6.1,5.6,3.2
2020-09-30,6.1,5.7,3.2
2020-10-31,6.1,5.8,3.2
2020-11-30,6.1,5.8,3.3
2020-12-31,6.2,5.9,3.4
2021-01-31,6.5,6.2,3.5
2021-02-28,6.5,6.3,3.6
2021-03-31,6.4,6.3,3.5
2021-04-30,6.3,6.2,3.5
2021-05-31,6.1,6.0,3.4
2021-06-30,5.9,5.8,3.3
2021-07-31,5.8,5.6,3.1
2021-08-31,5.8,5.6,3.0
2021-09-30,5.6,5.5,2.9
2021-10-31,5.5,5.3,2.7
2021-11-30,5.4,5.2,2.5
2021-12-31,5.4,5.1,2.4
2022-01-31,5.5,5.2,2.4
2022-02-28,5.5,5.2,2.4
2022-03-31,5.4,5.0,2.3
2022-04-30,5.2,4.8,2.3
2022-05-31,5.1,4.6,2.2
2022-06-30,4.9,4.4,2.0
2022-07-31,4.9,4.3,2.0
2022-08-31,4.8,4.3,2.0
2022-09-30,5.1,4.5,1.9
2022-10-31,5.1,4.5,1.8
2022-11-30,5.1,4.5,2.1
2022-12-31,5.2,4.6,1.9
2023-01-31,5.5,4.9,2.1
2023-02-28,5.5,5.0,2.2
2023-03-31,5.4,4.9,2.2
2023-04-30,5.2,4.7,2.1
2023-05-31,5.1,4.6,2.0
2023-06-30,5.0,4.5,1.8
2023-07-31,5.0,4.6,1.9
2023-08-31,5.0,4.5,1.9
2023-09-30,5.0,4.6,2.0
2023-10-31,5.0,4.6,2.0
2023-11-30,5.0,4.6,1.9
2023-12-31,5.1,4.6,2.0
2024-01-31,5.4,4.9,2.1
2024-02-29,5.4,5.0,2.3
2024-03-31,5.3,4.9,2.3
2024-04-30,5.1,4.8,2.3
2024-05-31,5.0,4.6,2.3
2024-06-30,4.9,4.5,2.2
2024-07-31,5.0,4.4,2.2
2024-08-31,5.0,4.5,2.2
2024-09-30,5.0,4.5,2.1
2024-10-31,4.9,4.5,2.2
2024-11-30,5.0,4.6,2.2
2024-12-31,5.1,4.6,2.3
2025-01-31,5.4,4.9,2.4
2025-02-28,5.4,5.0,2.5
2025-03-31,5.3,4.9,2.5
2025-04-30,5.2,4.7,2.5
2025-05-31,5.0,4.6,2.5
2025-06-30,5.2,4.7,2.5
2025-07-31,5.4,4.9,2.7
2025-08-31,5.5,5.0,2.7
2025-09-30,5.6,5.2,2.7
2025-10-31,5.6,5.3,2.8
